trial,cue,digit,keypress,cuetime,trialtime,sessiontime
0,0,9,1,226.08675939997192,249.75749719992746,250.99926609999966
0,1,4,9,7.142534299986437,256.901430399972,258.14319920004345
0,2,3,3,3.774825300090015,260.6774116999004,261.91918049997184
0,3,4,9,13.94288340001367,274.62142219999805,275.8631910000695
0,4,6,4,4.5268530999310315,279.149409799953,280.39117860002443
0,5,9,9,4.094752399949357,283.2453622999601,284.48713110003155
0,6,7,4,5.038902400061488,288.2853630000027,289.5271317999577
0,7,4,9,4.606763400021009,292.89332799997646,294.1350971000502
0,8,7,5,15.270957399974577,308.1653832999291,309.40715210000053
0,9,4,9,3.454831500072032,311.6213471000083,312.8631158999633
1,0,3,4,4.647021199925803,10.13606529997196,322.99924929998815
1,1,8,3,5.974695599987172,16.1119399999734,328.97512389998883
1,2,1,2,8.390791499987245,24.503977000014856,337.36716100003105
1,3,5,2,5.3028930000728,29.807980500045232,342.6711645000614
1,4,1,9,12.438851499930024,42.247995399986394,355.11117920000106
1,5,0,3,6.2707982999272645,48.51993670000229,361.38312050001696
1,6,1,9,8.926974099944346,57.448046599980444,370.3112303999951
1,7,3,1,2.79881559999194,60.2479597000638,373.11114349996205
1,8,2,3,7.606852199998684,67.85594649997074,380.7191302999854
1,9,9,3,2.430883300025016,70.28798360005021,383.15116750006564
