trial,cue,digit,processor,keypress,cuetime,trialtime,sessiontime
0,0,2,test,0,1.5623961999081075,3.7554411001037806,4.926618200028315
0,1,1,control,1,2.2387859001755714,5.995381900109351,7.166559099918231
0,2,7,test,2,3.269444700097665,9.267433000029996,10.438610199838877
0,3,3,control,3,3.2869074000045657,12.555397999938577,13.726575099863112
0,4,1,control,4,2.4229492000304163,14.979417599970475,16.150594800012186
0,5,9,control,0,1.582882200134918,16.56338270008564,17.73455989989452
0,6,2,control,3,1.6789878001436591,18.243417999939993,19.414595199981704
0,7,8,test,5,1.60521740000695,19.851414300035685,21.02259139996022
0,8,6,control,2,1.5429420000873506,21.395413500024006,22.56659059994854
0,9,8,control,3,1.1189586000982672,22.51542089995928,23.686597999883816
1,0,4,test,9,3.045507299946621,5.184032400138676,28.870655999984592
1,1,5,test,8,3.525330699980259,8.711944699985906,32.39856829983182
1,2,7,test,9,1.293356099864468,10.007936200127006,33.69455979997292
1,3,5,test,8,1.0694288001395762,11.079962100135162,34.76658569998108
1,4,9,control,7,1.950918500078842,13.031951599987224,36.71857529995032
1,5,3,control,6,1.7269258999731392,14.759943400043994,38.44656699988991
1,6,1,test,5,2.245399799896404,17.007963299984112,40.69458689983003
1,7,5,test,4,1.6613721000030637,18.671942900167778,42.358566500013694
1,8,7,test,8,1.4854564000852406,20.160022099968046,43.84664569981396
1,9,1,test,3,1.5095229998696595,21.671966900117695,45.35859059984796
2,0,6,test,0,4.101292500039563,5.5679717999883,50.926588899921626
2,1,4,test,9,4.277478100033477,9.848030699882656,55.20664779981598
2,2,8,test,1,4.581425999989733,14.431977400090545,59.79060439998284
2,3,9,test,2,2.661379599943757,17.09596520010382,62.454582299804315
2,4,5,test,3,1.4933925999794155,18.591995399910957,63.95061249984428
2,5,6,test,2,2.8852493001613766,21.47995280008763,66.83856990002096
2,6,0,test,4,1.7174427001737058,23.20003390009515,68.55865100002848
2,7,9,control,5,1.430909999879077,24.632027399959043,69.99064460000955
2,8,1,control,6,2.118880500085652,26.7519944999367,72.11061179987155
2,9,7,control,7,1.6068937999662012,28.359958000015467,73.7185750999488
3,0,7,control,0,3.822940500220284,5.391958500025794,79.11055859993212
3,1,0,control,5,4.286979499971494,9.680023099994287,83.39862330001779
3,2,5,test,6,1.5492378999479115,11.231983799953014,84.95059479982592
3,3,9,control,5,1.4309467999264598,12.664039300056174,86.38263959996402
3,4,3,control,4,1.3909062000457197,14.056018200004473,87.7746182999108
3,5,6,test,0,3.6373121000360698,17.696033699903637,91.41463379980996
3,6,7,control,5,1.9268424999900162,19.623994699912146,93.34259489993565
3,7,2,test,7,2.6214111000299454,22.24799959990196,95.96659969980828
3,8,7,control,1,1.9829229000024498,24.23205620003864,97.95065629994497
3,9,1,test,2,6.141373999882489,30.376031999941915,104.09463209984824
4,0,1,test,6,10.253342699958012,12.119958200026304,116.21461659995839
4,1,6,control,4,2.782894999952987,14.903934699948877,118.99859319999814
4,2,2,control,5,3.08689899998717,17.991922700079158,122.08658119989559
4,3,7,test,8,3.4613002999685705,21.45590929989703,125.55056769982912
4,4,4,control,3,1.302883899770677,22.75992299988866,126.85458139982074
4,5,6,test,6,2.7974399998784065,25.559925599955022,129.6545839998871
4,6,8,control,8,4.72687969985418,30.287886600010097,134.38254499994218
4,7,1,control,3,1.5429102999623865,31.831892099929973,135.92655049986206
4,8,7,test,8,3.629499799804762,35.46398489992134,139.55864329985343
4,9,4,test,9,2.853247200138867,38.31987480004318,142.41453319997527
5,0,4,control,3,1.5189851999748498,3.072092199930921,145.48665159987286
5,1,5,control,5,7.006867399904877,10.080037100007758,152.4945964999497
5,2,2,test,6,4.589406599989161,14.672067699953914,157.08662709989585
5,3,0,test,7,1.3011607001535594,15.976070999866351,158.3906303998083
5,4,9,control,8,2.9428469000849873,18.919995700009167,161.33455519983545
5,5,8,test,4,3.477398300077766,22.400002300040796,164.81456159986556
5,6,0,test,8,3.8932982000987977,26.296016599982977,168.71057609980926
5,7,9,test,5,2.4214044001419097,28.720079199876636,171.13463869993575
5,8,8,control,7,2.310861400095746,31.032006199937314,173.44656559987925
5,9,3,control,8,2.166945200180635,33.2000317000784,175.61459110002033
6,0,9,control,7,0.8870643998961896,1.4079366000369191,177.0225525998976
6,1,0,test,9,3.941427400102839,5.352014899952337,180.96663089981303
6,2,2,test,6,1.6213907999917865,6.976012900006026,182.5906289999839
6,3,9,test,5,2.421363700181246,9.3999715000391,185.0145874998998
