Processor,Renderer,Size,Accuracy
Edges,IrregularChanging,10,0.472
Edges,IrregularChanging,3,0.154
Edges,IrregularChanging,5,0.34
Edges,Irregular,10,0.68
Edges,Irregular,3,0.178
Edges,Irregular,5,0.42
Edges,Regular,10,0.672
Edges,Regular,3,0.202
Edges,Regular,5,0.434
Intensity,IrregularChanging,10,0.612
Intensity,IrregularChanging,3,0.298
Intensity,IrregularChanging,5,0.432
Intensity,Irregular,10,0.846
Intensity,Irregular,3,0.392
Intensity,Irregular,5,0.586
Intensity,Regular,10,0.842
Intensity,Regular,3,0.4
Intensity,Regular,5,0.604
MnistBraille,IrregularChanging,10,0.91
MnistBraille,IrregularChanging,3,0.892
MnistBraille,IrregularChanging,5,0.908
MnistBraille,Irregular,10,0.91
MnistBraille,Irregular,3,0.91
MnistBraille,Irregular,5,0.91
MnistBraille,Regular,10,0.91
MnistBraille,Regular,3,0.91
MnistBraille,Regular,5,0.91
MnistMimic,IrregularChanging,10,0.88
MnistMimic,IrregularChanging,3,0.866
MnistMimic,IrregularChanging,5,0.812
MnistMimic,Irregular,10,0.91
MnistMimic,Irregular,3,0.91
MnistMimic,Irregular,5,0.91
MnistMimic,Regular,10,0.91
MnistMimic,Regular,3,0.91
MnistMimic,Regular,5,0.91
Original,Original,Original,0.91
